"","Title","Price","Rating","Num_Reviews"
"1","EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","$479.00","4.7 out of 5 stars","Amazon's Choice: Overall Pick"
"2","Mo Digital Cameras for Photography & 4K Video, 48 MP Vlogging Camera for YouTube with 180° Flip Screen,16X Digital Zoom,Flash & Autofocus,52mm Wide Angle & Macro Lens,2 Batteries,32GB SD Card","$149.98","5.0 out of 5 stars","8"
"3","PIXPRO AZ405-BK 20MP Digital Camera 40X Optical Zoom 24mm Wide Angle Lens Optical Image Stabilization 1080P Full HD Video 3"" LCD Vlogging Camera (Black)","$185.41","4.0 out of 5 stars","Amazon's Choice: Popular Brand Pick"
"4","Digital Camera, 4k Cameras for Photography & Video, 64MP WiFi Touch Screen Vlogging Camera for YouTube with Flash, 32GB SD Card, Lens Hood, 3000mAH Battery, Front and Rear Cameras - Black","$159.99","4.2 out of 5 stars","312"
"5","Digital Camera, 4k Cameras for Photography, 64MP WiFi Vlogging Camera for YouTube with Dual Camera, Touch Screen, Flash, 32GB SD Card, Lens Hood, 3000mAH Battery-Black1","$159.99","4.5 out of 5 stars","50"
"6","Digital Camera for Photography, 4K Vlog Camera, Dual Cam Front and Rear, Autofocus & Anti-Shake, 7 Color Filters, Face Detect, 3'' IPS Screen, 140°Wide Angle, 18X Zoom, 64G TF Card & Hand Strap ACG-06","$99.99","5.0 out of 5 stars","10,974"
"7","Digital Camera, FHD 1080P Camera, Digital Point and Shoot Camera with 16X Zoom Anti Shake, Compact Small Camera for Boys Girls Kids","$49.99","4.4 out of 5 stars","3,461"
"8","Digital Cameras for Photography, 4k&48MP Video/Vlogging Camera for YouTube, Travel Camera with 32GB TF Card & 2 Batteries,Compact Camera, Choice for Beginners","$109.99","5.0 out of 5 stars","2"
"9","EOS Rebel T7 DSLR Camera|2 Lens Kit with EF18-55mm + EF 75-300mm Lens, Black","$599.00","4.7 out of 5 stars","2,344"
"10","4K Digital Cameras for Photography，48MP/60FPS Video Camera for Vlogging, WiFi & App Control Vlogging Camera for YouTube, Small Camera with 32GB TF Card.Wide-Angle & Macro Lens","$148.00","4.5 out of 5 stars","32"
"11","Newest 4K Digital Camera for Photography and Video, 48MP Vlogging Camera with SD Card Autofocus Anti-Shake, 3'' 180° Flip Screen 16X Zoom Digital Camera with Flash, Compact Digital Camera for Travel","$79.99","4.9 out of 5 stars","112"
"12","AZ401RD Point & Shoot Digital Camera with 3"" LCD, Red","$160.45","4.1 out of 5 stars","2,746"
"13","Digital Camera for Photography 64MP, 4K Vlogging Camera for YouTube with 3"" Flip Screen,16X Digital Zoom, WiFi& Autofocus,Cameras Strap&Tripod,2 Batteries, 32GB TF Card(S200)","$219.98","5.0 out of 5 stars","4"
"14","Digital Camera, 16 Megapixel Photo Camera Mini Digital SLR Camera, CMOS Sensor 2.4“ TFT LCD Compact Camera, 16X Digital Zoom Video Camera for Children Adults Beginners Black","$39.99","2.8 out of 5 stars","22"
"15","64MP Digital Camera for Photography and Video, 4K Vlogging Camera for YouTube with 3’’ Flip Screen,16X Digital Zoom, WiFi& Autofocus,Cameras Strap&Tripod,2 Batteries, 32GB TF Card(S200)","$179.98","3.9 out of 5 stars","7"
"16","4K Digital Camera with WiFi, Autofocus, 3"" Flip Screen, Wide-Angle & Macro Lens, 16X Digital Zoom, Flash, Vlogging for YouTube, 32GB Memory Card and 2pcs Batteries Included (Black)","$79.99","4.2 out of 5 stars","54"
